Sex,Age,Height,Weight,NOC,Category
1,21.0,185.0,85.0,66,watercraft_racing - rowing
1,25.0,182.0,66.0,173,Uncategorized
0,20.0,167.0,52.0,75,athletics_technical - jumps_and_vault
1,20.0,180.0,67.0,210,Uncategorized
0,24.0,176.0,70.0,190,racket_net_sports - table_tennis
1,23.0,180.0,70.0,212,winter_sliding_alpine - ski_jumping
1,20.0,170.0,64.0,68,artistic_aesthetic_judged - gymnastics
1,29.0,196.0,100.0,182,team_sports - water_polo
1,26.0,175.0,68.0,151,team_sports - hockey
0,18.0,173.0,54.0,35,artistic_aesthetic_judged - rhythmic_gymnastics
1,22.0,172.0,60.0,67,endurance_stamina - running
1,21.0,175.0,72.0,98,Uncategorized
1,24.0,183.0,73.0,212,athletics_technical - jumps_and_vault
0,21.0,159.0,52.0,187,artistic_aesthetic_judged - figure_skating
1,30.0,183.0,90.0,12,team_sports - hockey
0,23.0,166.0,60.0,102,precision_marksmanship - archery
1,27.0,183.0,62.0,128,Uncategorized
